SL.,NCR REPORT NO.,DATE OF NCR ,DATE  OF DETECTION,ITEM DESCRIPTION,NCR Description,Part Number,"Modified or Unmodified
FMI",Failure After FMI,Faulty Sl. No.,Healthy Sl. No.,ISSUED BY,Qty.,SUB-SYSTEM, Train No,CAR,RESPONSIBILITY (VENDOR/BEML),STATUS,ITEM REPAIRED/ RECOUPED,ITEM REPLACED (IF ANY),DATE OF REPAIRED/REPLACED,SOURCE,DATE OF INVESTIGATION REPORT RECEIVED,"NCR CLOSED BY DOC.,",GATE PASS           S/No,Remarks,IR Printed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,NCR-BEML RS3R-T&C-CPD-041,11/Apr/19,10/Apr/19,LAD05A card,LAD05A card found faulty. MC-2 Bogie2 Dump Valve was not operating when forced from IST.,,,,ZO8242790,___,Allen,1,Brake,08,M-2,M/s KBI,CLOSED,REPLACED,,23.07.2019,,07.11.2019,,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,NCR-BEML RS3R-T&C-CPD-042,12/Apr/19,12/Apr/19,Main Air Compressor,Air leakage & water dripping from TS#08 T2 Main air compressor-1 radiator observed.,,,,AK18117291,___,Vivek,1,Brake,08,T-2,M/s KBI,CLOSED,,,,,Received,,NOT FOUND,Air Leakage arrested by tightening the bolt in compressor.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,NCR-BEML RS3R-T&C-CPD-043,20/Apr/19,19/Apr/19,Saloon VAC,Refrigerant leakage found in circuit 2 compressor of OE fitted 3 saloon VACs of TS#04.,,,,"DMC1- VAC1- F18 4042
TC1- VAC2- F18 4046
MC2- VC2- F18 4044",___,Shilpa Sahu,3,VAC,04,"DM-1,T-1,M-2 ",M/s Faiveley,CLOSED,,,,,28.12.2019,HSR-2916,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,NCR-BEML RS3R-T&C-CPD-044,01/May/19,01/May/19,Tightening/Mounting nut of M16 bolt of lateral damper,"On receipt of TS#08 M1 car, B2 during underframe inspection before first movement of the train from IBL, it is observed that the lateral damper ""Tightening/ Mounting nut"" is having crack & also it is observed that torquing paint marks applied over the crack.",,,,Bogie Sl. No: KMRC-MBF-BD63,___,Vivek,1,Bogie,08,M-1,BEML Factory,CLOSED,,,,,,,NA,"As on 25.08.22, there is no dispute regarding this item, therefore closed.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,NCR-BEML RS3R-T&C-CPD-045A,04/Jul/19,19/Jun/19,TCMS VDU,"During uploading of TCMS software, it was observed that VDU is not working in TS#09 DM2 side. Further on 19.06.19 it was observed that TCMS screen is not booting up in TS#06 DM2 side.",,,,"Assy. No: 
1. DM06180
2. DM06175",___,Partha,2,TCMS,"09,06",DM-2,M/s MELCO,CLOSED,,,,,Received,,53,Mail Sent on dated 22.05.21  for FIR ( melco replied :- FIR Sent ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,NCR-BEML RS3R-T&C-CPD-046,09/May/19,27/Apr/19,Speed Sensor,"During brake internal, it was observed that speed sensor signal was not coming in IST (Laptop) for axle 4, EBCU 2.",,,,Assy. No: Z0121896673D02,___,Allen,1,Brake,08,T-2,M/s KBI,CLOSED,REPLACED,Speed Sensor,,REPLACEMENT BY VENDOR,04.12.2019,,49,FAR indicates physical damage. No shortage at present.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,NCR-BEML RS3R-T&C-CPD-047,09/May/19,25/Apr/19,EBCU-KSN01 Card,During brake internal it was obseved that in TS#08 M1 car EBCU 1 KSN01A card is having haradware revision of C03 instead of D03 as per EBCU inventory data.,,,,Assy. No: Z06041125,___,Allen,1,Brake,08,T-2,M/s KBI,CLOSED,REPLACED,KSN Card,06.07.2019,REPLACEMENT BY VENDOR,06.07.2019,,48,Investigation not received but accepted for closure.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,NCR-BEML RS3R-T&C-CPD-047A,14/Jun/19,14/Jun/19,EBCU-KSN01 Card,"After BECU software version 1.06 loading, CDS device failure KSN01A R2 logged in TCMS.",,,,Z07492557,Z07121871,Balaram,1,Brake,01,M-1,M/s KBI,CLOSED,,,,,Received,,52,FIR Received,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,NCR-BEML RS3R-T&C-CPD-048,15/May/19,15/May/19,Door Control Unit (DCU),R3 Saloon door is not opening/closing.,3ED01922R20,,,315281-00000320 0118,___,Sunil Kumar Rajan,1,Door,09,DM-1,M/s KBI,CLOSED,Repaired,DCU Unit,,Repaired by vendor,Received,FAR,43,Power Module was found burnt. Replaced by KBI. Repaired Card used in TS#03/TC2/R4 (NCR-219),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,NCR-BEML RS3R-T&C-CPD-049,20/May/19,18/May/19,Saloon VAC PLC,"1. DMC1, VAC1- Correct value of LP1 presure is not showing on Mona App. After swapping the PLC by M/s Faiveley rep with other trainsets PLC, Correct value of LP1 is showing on Mona app. Based on this, it was confirmed that PLC is faulty & which need to be replaced.
2. DMC1, VAC2- All temperature sensors & pressure sensors value are showing wrong on Mona app. After swapping the PLC by M/s Faiveley rep with other trainsets PLC, correct value of LP1 is showing on Mona app. Based on this, it was confirmed that PLC is faulty & which need to be replaced.",,,,"1. 01648/1802
2. 01634/1802","1. 01736/1820
2. 01794/1832",Shilpa Sahu,2,VAC,01,DM-1,M/s Faiveley,CLOSED,,,,REPLACEMENT BY VENDOR,28.07.2019,,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,NCR-BEML RS3R-T&C-CPD-050,20/May/19,18/May/19,Saloon VAC Drain Hole cap ,"Dripping of condensate water inside saloon area from supply air fan chamber through condensate water tray i.e water dripping in saloon area every time during operation saloon VAC.
Note: Only drain hole caps changed from VAC.",,,,Drain hole caps ,Drain hole caps ,Shilpa Sahu,4,VAC,01,M-1,M/s Faiveley,CLOSED,Repaired,Saloon VAC Drain Hole cap ,08.08.2019,N/A,29.08.2019,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,NCR-BEML RS3R-T&C-CPD-051,20/May/19,18/May/19,KM01 Contactor of Cab,DM2 cab vac with sl. No B18 4002 is not working.,,,,B18 4002,K18 4019,Shilpa Sahu,1,VAC,03,DM-2,M/s Faiveley,CLOSED,,,,,,,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,NCR-BEML RS3R-T&C-CPD-052,20/May/19,18/May/19,Saloon VAC Condenser Fan 1,"Condenser fan 1 (CDF 1) MCB is getting tripped once VAC is started. Sl no. (C18 4019) after swapping the condenser fan assembly with other trainsets i.e . TS#10, DM1 VAC1 (sl no. G18 4069) by M/s. Faiveley rep, MCB is not getting tripped. ",,,,1000724782,1000742126,Shilpa Sahu,1,VAC,01,M-2,M/s Faiveley,CLOSED,,,,,,,59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,NCR-BEML RS3R-T&C-CPD-053,27/May/19,27/May/19,16 Port Moxa Ethernet switch,"Port no 01, which is assigned to PEAU 01 was not working /blinking , after changing the port of PEAU01 to other ports of Moxa ethernet switch, the new assigned port of PEAU 01 started to blink. Therefore port1 of MOXA ethernet switch is found to be faulty.",,,,1707336-0008,___,Pritesh,1,PAPIS,05,T-2,M/s Televic,OPEN,,,,,,,,"mail sent to telvic for FIR on dated 21.05.2021.
And material is available in DLP stock.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,NCR-BEML RS3R-T&C-CPD-054,21/May/19,21/May/19,Saloon VAC PLC,"PLC is not getting on though 110v DC is available at input. After swapping the PLC by M/s Faiveley rep with other trainsets PLC, corresponding VAC is working fine.   Based on this it was confirmed that PLC is faulty & which need to be replaced.",,,,01692/1811,01758/1824,Shilpa Sahu,1,VAC,05,M-2,M/s Faiveley,CLOSED,,,,,Received,,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,NCR-BEML RS3R-T&C-CPD-055,16/May/19,16/May/19,Emergency Inverter,"For DM2 car, VAC 1 is not getting EMI ok signal. On investigation it is found that Emergency  inverter is faulty as inverter is not getting 180 v output voltage. After replacing with new stock from DLP spares by M/s Faiveley rep corresponding VASC is getting EMI ok signal.",,Unmodified,NO,0302,0572,Shilpa Sahu,1,VAC,01,DM-2,M/s Faiveley,CLOSED,,,,,Received,,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,NCR-BEML RS3R-T&C-CPD-056,20/Jun/19,19/Jun/19,LAD01B BECU Card,"After uploading Becu software version 1.07, it was observed that M2 BECU 1 showing unhealthy in TCMS. LAD01B-A8 card swapped with DM1 car and the fault shifted to DM1 car.",,,,ZO7201874,ZO8162751,Allen,1,Brake,02,M-2,M/s KBI,CLOSED,,,,,Received,,52,Main sent for FIR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,NCR-BEML RS3R-T&C-CPD-057,26/Jun/19,08/May/19,Door Control Unit (DCU),"1. Saloon door R4 of TS#05 TC1 opening by 6-7"" only.
2. Said ddor does not close afterwards.
3. DCU is showing error code 2.",,,,___,___,,1,Door,05,T-1,M/s KBI,CLOSED,REPAIRED,N/A,26.07.2019,N/A,26.07.2019,,NOT FOUND,Pin 1 of S7 Switch was not crimped properly. Soldered and closed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,NCR-BEML RS3R-T&C-CPD-058,03/Jul/19,15/Jun/19,Master Control unit,During Aux on from DM1 side it was observed that Master control unit was unable to operate. Mechanical problem observed.,,,,DM07985,,Partha,1,Propulsion,10,DM-1,M/s MELCO,CANCELED,,,,,,,NOT FOUND,Cancelled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,NCR-BEML RS3R-T&C-CPD-058.1,17/Aug/20,15/Jun/19,Master Control unit,"During Aux On from DM1 side, it was observed that Master Control Key was unable to operate. Mechanical problem observed. (Mock selector unable to move)",,,,Part No: DM07985,___,Arghya Kar ,1,Propulsion,10,DM-1,BEML Factory,OPEN,,YES,20.06.23,,Received,,,Both IR & material received. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,NCR-BEML RS3R-T&C-CPD-059.01,10/Jul/19,04/Jul/19,Battery Fuse,Train was getting automatically Aux off when APS2CB is on in unit 2. In aux on condition it was found that BVMR2 relay getting off.,,,,Part No: A302680,___,Partha,2,Battery,10,T-2,M/s MERSEN,CLOSED,,,,,,,NOT FOUND,Material received from Bangalore factory.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,NCR-BEML RS3R-T&C-CPD-59.02,14/Aug/20,04/Jul/20,Battery Fuse,"1. In TS#10, train was getting automatically Aux Off when APS2CB is ON in Unit 2. In Aux On condition, it was found that BVMR2 relay getting OFF.
2. In TS#07, during fleet check it was found damaged.",,,,___,___,Allen,4,Battery,"10, 7","TS#10- T-2
TS#07- T-1",BEML Factory,CLOSED,,,,,,,,Materials Received 2021 & Report pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,NCR-BEML RS3R-T&C-CPD-060,27/Jul/19,17/May/19,Saloon VAC,Refrigerant leakage found in circuit 2 of compressor of OE fitted saloon VAC of T1 VAC1 of TS#01.,,,,C18-4013,___,,1,VAC,01,T-1,M/s Faiveley,CLOSED,,,,,28.12.2019,HSR-2916,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,NCR-BEML RS3R-T&C-CPD-061,27/Jul/19,15/Jul/19,Saloon VAC,Refrigerant leakage found in circuit 1 of compressor of OE fitted saloon vacs of DM2 VAC1 of TS#04 and circuit 1 of DMC1 VAC2 of TS#01.,,,,TS#01: C18-4014,___,,1,VAC,01,DM-1,M/s Faiveley,CLOSED,,,,,28.12.2019,HSR-2916,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,NCR-BEML RS3R-T&C-CPD-061,27/Jul/19,15/Jul/19,Saloon VAC,Refrigerant leakage found in circuit 1 of compressor of OE fitted saloon vacs of DM2 VAC1 of TS#04 and circuit 1 of DMC1 VAC2 of TS#01.,,,,TS#04: F18-4047,___,,1,VAC,04,DM-2,M/s Faiveley,CLOSED,,,,,28.12.2019,HSR-2916,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,NCR-BEML RS3R-T&C-CPD-062,29/Jul/19,15/Jan/19,Saloon Speaker,During testing period it has been noticed that TS#01 T2 car L1 speaker not working. After investigation checked all wiring and found that saloon speaker  not working.,,,,___,___,Shashi Shekhar Mishra,1,PAPIS,01,T-2,M/s Televic,CLOSED,,,,,,,,mail sent to telvic for FIR on dated 21.05.2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,NCR-BEML RS3R-T&C-CPD-063,29/Jul/19,12/Jul/19,DVR,During testing period it has been noticed that TS#04 DMC1 car DVR ethernet communication  not working. After investigation it has been  found that though Moxa switch DVR communication  not working.,,,,180213-0003,___,Shashi Shekhar Mishra,1,PAPIS,04,DM-1,M/s Televic,OPEN,,,,,,,,mail sent to telvic for FIR on dated 21.05.2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,NCR-BEML RS3R-T&C-CPD-064,29/Jul/19,19/Feb/19,CCU,During testing period it has been noticed that TS#03 DMC1 car CCU ethernet communication  not working. After investigation it has been  found that CCU was faulty.,,,,1800702-0002,___,Shashi Shekhar Mishra,1,PAPIS,03,DM-1,M/s Televic,OPEN,,,,,,,66,25.08.22- Material received,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,NCR-BEML RS3R-T&C-CPD-065,29/Jul/19,29/Jul/19,AAU,During testing period it has been noticed that TS#01 T2 car AAU was  not working. After investigation  with OEM on dated 10.01.19 it has been  confirm  that though Moxa switch AAU communication  not working.,,,,1800178-0022,___,Shashi Shekhar Mishra,1,PAPIS,01,T-2,M/s Televic,CLOSED,,,,,,,,25.08.22- Modification work done. SO NCR closed.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,NCR-BEML RS3R-T&C-CPD-066,25/Jul/19,15/Jul/19,Goose Neck Mic,During commissioning of trains it has been noticed that4 nos gooseneck mic found in faulty condition. After investigation  found that push button cable with spring assembly was missing at 2 gooseneck mic and 2 nos of gooseneck mic was not working.,,,,Assy No: 94221144,___,Shashi Shekhar Mishra,4,PAPIS,"01,02,03","DM-1,DM-2",M/s Televic,CLOSED,,,,,,,,25.08.22- Material reapired & recouped.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,NCR-BEML RS3R-T&C-CPD-067,03/Aug/19,22/Jul/19,Piston Valve,Air leakage observed from piston valve in TS#10 DMC1 bogie 2.,,,,"Part No: I89525
Assy. No: WKV1-T
34/18,
0533/29",___,,1,Brake,10,DM-1,M/s KBI,CLOSED,,,,,Received,,82,FIR Received,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,NCR-BEML RS3R-T&C-CPD-068,03/Aug/19,22/May/19,DC DC Converter,During internal VCC it was observed that DM2 wiper was not working. On further investigastion it was found that the input supply 24v is not available. Further checked DC-DC converter and found zero voltage in its output.,,,,Assy. No: 0254031800025,___,,1,VCC,09,DM-2,M/s AAL,CLOSED,REPLACED,DC DC Converter,12.08.19,,Received,,79,"Mail id is not available ,maild did not sent to vendor for FIR",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,NCR-BEML RS3R-T&C-CPD-069,03/Aug/19,22/Jul/19,LAD01B Card,In TS#05 MC1 Becu1 ATO cutout speed limit signal not coming & found LAD01B card found faulty.,,,,"Part No: STN39577/201
Assy. No: ZO8162762",___,Vivek,1,Brake,05,M-1,M/s KBI,OPEN,,,,,Received,,57,FIR received. Issue under discussed with KBI.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,NCR-BEML RS3R-T&C-CPD-070,03/Aug/19,22/Jul/19,EBCU software version -1.07,"After uploading BECU software version 1.07 in TS#01, following faults observed:
1. Becu faults- FDS apply DCL failures.
2. FDS release DCL failure.
3. CDS BRK demand range.
Same shown to KBI rep. Same issues observed in TS#02, 03, 04, 05 &10 also.",,,,___,___,Vivek,1,Brake,01,,M/s KBI,CLOSED,,,,,,,NOT FOUND,Mail sent for FIR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,NCR-BEML RS3R-T&C-CPD-071,07/Aug/19,07/Aug/19,Emergency inverter,TS#02 MC2 VAC2 supply fan was not working during emergency period.,,Unmodified,NO,BTN2028U5I-335,___,Sunil Kumar Rajan,1,VAC,02,M-2,M/s Faiveley,CLOSED,,,,,,,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,NCR-BEML RS3R-T&C-CPD-072,17/Aug/19,30/Jul/19,LAD01B,TS#05 MC1 Brake2 supply fan was Knorr not working during emergency period.,,,,Z08162762,Z09144386,Allen,1,Brake,05,M-1,M/s KBI,CANCELED,,,,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,NCR-BEML RS3R-T&C-CPD-073,24/Jun/19,22/Jun/19,Horn,Horn not blowing.,,,,"Part No: II51214
Part Sl. No: MKT75/370
BN: W17557",___,Vivek,1,VCC,05,DM-1,M/s KBI,CLOSED,,,,,Received,,NOT FOUND,FIR Received,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,NCR-BEML RS3R-T&C-CPD-074,24/Jun/19,22/Jun/19,Piston Valve,Piston Valve found faulty.,,,,"Part No: WKV1-T
27/18
0500/29
Part Sl. No: I89525",___,Vivek,1,Brake,10,T-1,M/s KBI,CLOSED,Recouped,Piston Valve,26.08.19,DLP,Received,,58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,NCR-BEML RS3R-T&C-CPD-075,26/Aug/19,23/Aug/19,TCMS VDU,"It observed that TCMS screen is not booting up in TS#11, DM2 side.",,,,DM06176,___,Arghya Kar ,1,TCMS,11,DM-2,M/s MELCO,CLOSED,,,,,,,65,Mail Sent on dated 22.05.21  for FIR ( melco replied :- FIR Sent ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,NCR-BEML RS3R-T&C-CPD-076,26/Aug/19,22/Aug/19,LAD01B Card,In TS#07 DM2 BECU 1 FDS relay major fault LAD01B observed. (After loading s/w 1.01 version).,,,,ZO8162740,ZO9144389,Allen,1,Brake,07,DM-2,M/s KBI,CLOSED,,,,,Received,,57,FIR Received,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,NCR-BEML RS3R-T&C-CPD-077,26/Aug/19,26/Aug/19,VAC Unit,TS#05 MC2 VAC1 smoke detector fault observed in TCMS during VAC operation.,,,,CH1517052080,___,Sunil Kumar Rajan,1,VAC,05,M-2,M/s Faiveley,CLOSED,,,,,,,59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,NCR-BEML RS3R-T&C-CPD-078,26/Aug/19,14/Aug/19,EBCU-KSN01 Card,"During brake internal it was observed that in TS#11, DM2 car, EBCU 1 KSN01 card is having hardware revision of C03 (Ref: check sheet no TA45603/700 Rev 02) as per EBCUinvectory data.",,,,ZO6041251,___,Vivek,1,Brake,11,DM-2,M/s KBI,CLOSED,,,,,Received,,NOT FOUND,KBI request mail reveived on 27.11.2019 for NCR Closer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,NCR-BEML RS3R-T&C-CPD-079,27/Aug/19,25/Aug/19,Condenser Fan- Cab,TS#03 DMC1 Cab VAC - Vac was not cooling during VAC operation.,,,,1000706664,___,Sunil Kumar Rajan,1,VAC,03,DM-1,M/s Faiveley,CLOSED,,,,,,,59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,NCR-BEML RS3R-T&C-CPD-080,30/Aug/19,20/Aug/19,External Speaker,It is observed that external speaker was not working in TS#01 M2 car L1.,,,,___,___,Suraj Pd Barnwal,1,PAPIS,01,M-2,M/s Televic,CLOSED,,,,,,,,mail sent to telvic for FIR on dated 21.05.2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,NCR-BEML RS3R-T&C-CPD-081,11/Sep/19,07/Sep/19,Pressure Sensor,"DM1 becu 2, load sensor reading was showing 3.24 bar while physical value when checked with pressure guage found as 2.42 bar. That is load pressure sensor found faulty. Same shown to KBI rep.",,,,AD17265689,___,Allen,1,Brake,01,DM-1,M/s KBI,CLOSED,,,,,Received,,62,FIR Received,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,NCR-BEML RS3R-T&C-CPD-082,12/Sep/19,11/Sep/19,Single Hose protection Valve,DM2 rear side audible leakage sound noticed from the single hose protection valve. The same has been shown to faiveley representative.,,,,F18015,___,Allen,1,Brake,09,DM-2,M/s Faiveley,CLOSED,,,,,05.12.2019,,NA,Mail sent for FIR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,NCR-BEML RS3R-T&C-CPD-083,12/Sep/19,12/Sep/19,PEAU,During testing period it has been noticed that TS#03 DM2 car PEAU1 software not updated. After investigation it has been found that PEAU 1 was faulty.,,,,1805113-0036,___,Shashi Shekhar Mishra,1,PAPIS,03,DM-2,M/s Televic,OPEN,,,,,,,"61
(Gate pass dt. 12.09.19)",Material recouped but IR pending.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,NCR-BEML RS3R-T&C-CPD-084,12/Sep/19,12/Sep/19,PEAU,During testing period it has been noticed that TS#01 DM1 car PEAU 3 software was not communicating. After investigation it has been found that PEAU 3 was faulty.,,,,1800698-0031,___,Shashi Shekhar Mishra,1,PAPIS,05,DM-1,M/s Televic,OPEN,,,,,,,"61
(Gate pass dt. 12.09.19)",Material and IR both pending.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,NCR-BEML RS3R-T&C-CPD-085,12/Sep/19,12/Sep/19,PEAU,During testing period it has been noticed that TS#07 DM1 car PEAU 3 software was not communicating. After investigation it has been found that PEAU 3 was faulty.,,,,1800699-0061,___,Shashi Shekhar Mishra,1,PAPIS,07,DM-1,M/s Televic,OPEN,,,,,,,"61
(Gate pass dt. 12.09.19)",Material and IR both pending.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,NCR-BEML RS3R-T&C-CPD-086,12/Sep/19,12/Sep/19,TFT,During testing period it has been noticed that TS#08 M1 car L1 TFT not working. After investigation it has been found that L1 TFT was faulty.,,,,1804066-0040,___,Shashi Shekhar Mishra,1,PAPIS,08,M-1,M/s Televic,OPEN,,,,,,,"61
(Gate pass dt. 12.09.19)",Material and IR both pending.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,NCR-BEML RS3R-T&C-CPD-087,12/Sep/19,12/Sep/19,NVR,During testing period it has been noticed that TS#04 DM1 carEthernet switch communication not working. After investigation it has been found that NVR  was faulty.,,,,1802137-0003,___,Shashi Shekhar Mishra,1,PAPIS,03,DM-2,M/s Televic,OPEN,,,,,,,"61
(Gate pass dt. 12.09.19)",mail sent to telvic for FIR on dated 21.05.2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,NCR-BEML RS3R-T&C-CPD-088,16/Sep/19,12/Sep/19,Emergency inverter,"For DM2 car, VAC2 is not getting EMI ok signal. On investigation it is found that emergency inverter is faulty as inverter is not getting 180v output voltage. After replacing with new stock from DLP spares by M/s Faiveley rep corresponding VAC is getting EM ok signal.",,Unmodified,NO,0422,0590,Shilpa Sahu,1,VAC,07,DM-2,M/s Faiveley,CLOSED,20/12/2019,,,,Received,,64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,NCR-BEML RS3R-T&C-CPD-089,05/Sep/19,05/Sep/19,L.P1 Sensor,DM2 VAC1 refrigerant leakage found from circuit 1 L.P1 fitting.,,,,Z190000153,Z180313063,Sunil Kumar Rajan,1,VAC,04,DM-2,M/s Faiveley,CLOSED,,,,,,,64,FMI proposed. Issue under monitoring.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,NCR-BEML RS3R-T&C-CPD-090,05/Sep/19,05/Sep/19,Saloon VAC PLC,"DM2 VAC1 refrigerant leakage problem, Faiveley found saloon PLC was not showing L.P1 during VAC repaired.",,,,01671/1811,0189/1915,Sunil Kumar Rajan,1,VAC,04,DM-2,M/s Faiveley,CLOSED,,,,,,,64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,NCR-BEML RS3R-T&C-CPD-091,28/Sep/19,28/Sep/19,External CCTV Camera Housing,During testing of CCTV amera it has been noticed that all DMC cars external CCTV camera housing water was accumulated. Further housing to car body sealent application checked and found normal.,,,,___,___,Shashi Shekhar Mishra,44,CCTV,All cars,,M/s Televic,CLOSED,,,,,,,66,mail sent on dated 21.05.2021 for FIR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,NCR-BEML RS3R-T&C-CPD-092,23/Oct/19,04/Sep/19,FDI/TNI,During testing period it has been noticed that TS#06 DMC1 car FDI/TNI display found faulty and line mark was coming on the display area.,,,,1890002-0001,___,Shashi Shekhar Mishra,1,PAPIS,06,DM-1,M/s Televic,CLOSED,,,,,"Received 
28.08.23",,"66, 157",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,NCR-BEML RS3R-T&C-CPD-093,23/Oct/19,14/Oct/19,FDI/TNI,During testing period it has been noticed that TS#02 DMC1 car FDI/TNI display found faulty and line mark was coming on the display area.,,,,1890002-0002,___,Shashi Shekhar Mishra,1,PAPIS,02,DM-1,M/s Televic,CLOSED,,,,,"Received 
28.08.23",,157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,NCR-BEML RS3R-T&C-CPD-094,23/Oct/19,23/Oct/19,Smoke Sensor,TS#11 DM1 VAC1 smoke detector fault observed in TCMS during VAC operation.,,,,CH1518081021,CH1519012007,Sunil Kumar Rajan,1,VAC,11,DM-1,M/s Faiveley,CLOSED,,,,,,,67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,NCR-BEML RS3R-T&C-CPD-095,18/Oct/19,18/Oct/19,Saloon VAC,During fleet check of TS#05 Iit is observed that H.P2 sensor mounting thread is damaged in MC1 VAC1. It may have caused/lead to refrigerant leakage.,,,,M18-4049,A18-4004,Shilpa Sahu,1,VAC,05,M-1,M/s Faiveley,CLOSED,,,,,28.12.2019,HSR-2916,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
